"country"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"decade"	"continent"
"Panama"	0.280975134	2.967805	3.51546046	0.84993618	0.225461391	0.545399624	"2000-2009"	"America"
"Panama"	0.286583983	2.93865048	3.61501257	0.849849399	0.266481806	0.506763133	"2010-2019"	"America"
"Paraguay"	0.2739891525	3.510558675	6.14327205	1.090599275	0.18810875	0.521094285	"1990-1999"	"America"
"Paraguay"	0.273657662222222	3.53788137777778	6.14700045555556	1.09020514444444	0.195616381111111	0.529294325555556	"2000-2009"	"America"
"Paraguay"	0.276132557	3.66846086	6.23696039	1.08988882	0.21060365	0.485222409	"2010-2019"	"America"
"Peru"	0.272936206666667	2.37338043333333	5.46246103333333	0.920179656666667	0.262315843333333	0.543984953333333	"1990-1999"	"America"
"Peru"	0.274321881	2.28485054	5.46795489	0.919962706	0.276227805	0.502192015	"2000-2009"	"America"
"Peru"	0.278256758	2.18786492	5.53200359	0.919734163	0.292832211	0.435840487	"2010-2019"	"America"
"Saint Lucia"	0.2743025	3.2174928	4.224385	0.9264383	0.20197088	0.4258438	"1990-1999"	"America"
"Saint Lucia"	0.27648997	3.2474663	4.3025293	0.92453843	0.21414255	0.5122298	"2010-2019"	"America"
"Trinidad and Tobago"	0.2749445	3.9825232	3.7480576	0.9094044	0.21100782	0.40185452	"1990-1999"	"America"
"United States"	0.445555471	4.19411289	5.55681197	0.605188367	0.439864542	0.395650995	"1990-1999"	"America"
"United States"	0.45820378	4.49253931	6.21632757	0.60329371	0.454530414	0.406678063	"2000-2009"	"America"
"United States"	0.444679215	4.41797131	5.41769244	0.601653235	0.433450609	0.410503618	"2010-2019"	"America"
"Venezuela"	0.2770349475	3.210579225	3.773038425	0.8296881525	0.21414872	0.4623203275	"1990-1999"	"America"
"Venezuela"	0.27565729	3.21715926666667	3.79226121666667	0.829354615	0.207383121666667	0.47549484	"2000-2009"	"America"
"Azerbaijan"	0.27407718	2.6854274	2.5374076	0.5229974	0.10844892	0.3464838	"1990-1999"	"Asia"
"Azerbaijan"	0.271445652	2.69702458	2.54854576	0.522719034	0.0973756998	0.28348396	"2000-2009"	"Asia"
"Bangladesh"	0.280808495	4.704091	2.9987613	0.390582175	0.085004525	0.302568945	"1990-1999"	"Asia"
"Bangladesh"	0.2790104	4.5895692	3.13845945	0.390345885	0.08916423	0.33303912	"2000-2009"	"Asia"
