"country"	"year"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"pop"
"Canada"	1991	8090885.859661	92917910.817076	124391866.171508	21761572.4119366	11367157.919502	0.31943396	28037420
"Canada"	1992	8186554.89618816	94521759.884928	125864610.216403	22020768.7880659	11482818.0009024	0.3156432	28371264
"Canada"	1993	8276345.53979112	96125300.3731464	127202987.544696	22264400.713567	11606312.7495382	0.31675926	28684764
"Canada"	1994	8366823.80852991	97678989.092732	128514930.050024	22510102.9157601	11733240.2000141	0.3130381	29000663
"Canada"	1995	8453290.96092117	99125762.301015	129729388.932525	22744754.1468877	11850951.0608776	0.3150958	29302311
"Canada"	1996	8541762.03781428	100750721.019388	127794502.984456	22984283.2587258	11988291.9226818	0.32768053	29610218
"Canada"	1997	8626943.10044472	102592982.638908	121318780.38658	23214306.7181224	12132553.0159044	0.33116943	29905948
"Canada"	1998	8698849.18548215	104287278.242829	113030149.457615	23408133.972288	12254594.9020185	0.33217245	30155173
"Canada"	1999	8769814.58654244	105812472.436693	106087579.753964	23599758.28965	12395613.6248952	0.33060935	30401286
"Canada"	2000	8851742.5341558	106926844.220524	103697852.36123	23820933.28451	12548305.7494664	0.33418295	30685730
"Canada"	2001	8948261.5637067	107466795.014871	104764748.25678	24175420.88544	12726966.5079615	0.33554783	31020855
"Canada"	2002	9045798.34068643	107262885.81154	105894125.765428	24665806.8956027	12931099.2978377	0.3356031	31359199
"Canada"	2003	9127499.81468913	106516314.099898	106886553.043321	25161610.350285	13122193.7601697	0.33809465	31642461
"Canada"	2004	9212952.64873866	105834244.999438	107970076.064426	25628430.1354803	13320347.7453288	0.33776483	31938807
"Canada"	2005	9300532.1192352	105525302.99888	109122292.50798	25970105.1700652	13488114.9746528	0.33621806	32242732
"Canada"	2006	9394958.6794534	105647380.932996	113239328.652742	26234749.4683814	13663885.8044019	0.3409054	32571193
"Canada"	2007	9486070.02009738	105648004.85344	121410049.513381	26490789.0064395	13833734.7404301	0.33841008	32888886
"Canada"	2008	9588943.64883056	105842916.146381	131309412.165308	26779405.2191078	14023389.7924473	0.33930567	33247298
"Canada"	2009	9699081.05884707	106353085.497381	140271522.250035	27087462.1621025	14206980.6114637	0.33952153	33630069
