"country"	"year"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"
"Canada"	2003	0.28845733	3.3662462	3.3779469	0.795185	0.41470206	0.33809465
"Canada"	2004	0.28845638	3.3136568	3.3805294	0.8024229	0.4170584	0.33776483
"Canada"	2005	0.2884536	3.27284	3.3843997	0.8054561	0.4183304	0.33621806
"Canada"	2006	0.2884438	3.2435834	3.4766712	0.80545866	0.4195083	0.3409054
"Canada"	2007	0.28842783	3.2122707	3.6915221	0.80546325	0.42062035	0.33841008
"Canada"	2008	0.28841272	3.1835043	3.9494762	0.8054611	0.42179036	0.33930567
"Canada"	2009	0.28840503	3.1624403	4.171015	0.80545366	0.42244875	0.33952153
"Canada"	2010	0.28840762	3.152781	4.276715	0.8054412	0.42279753	0.33592603
"Canada"	2011	0.2884196	3.1614926	4.296102	0.8054201	0.4237151	0.32657078
"Canada"	2012	0.28843358	3.186795	4.311892	0.80541104	0.4240799	0.33539012
"Canada"	2013	0.28844956	3.2156205	4.3244333	0.805393	0.42440853	0.3379898
"Canada"	2014	0.2884684	3.243163	4.3339853	0.8053676	0.42516187	0.33157605
"Canada"	2015	0.28848678	3.2546144	4.3409214	0.8053428	0.42588902	0.33746484
"Canada"	2016	0.28850484	3.251694	4.3487153	0.8053236	0.42759335	0.32701823
"Canada"	2017	0.28852788	3.251631	4.3520355	0.80529726	0.42864105	0.33308205
"Canada"	2018	0.28857	3.2626557	4.3420477	0.80527705	0.42866212	0.3250927
"Canada"	2019	0.28864193	3.2904658	4.3206058	0.8052512	0.4285759	0.31749648
"Cape Verde"	2001	0.22472994	4.957605	3.0663197	0.57930857	0.11282417	0.5249597
"Cape Verde"	2007	0.22684167	5.0177536	3.056706	0.5787933	0.12367942	0.47187388
"Cape Verde"	2015	0.22842045	4.8981385	3.0845563	0.57819664	0.13447116	0.42381087
"Central African Republic"	1992	0.19687873	6.0170636	4.1984825	0.52991897	0.079922035	0.5927244
"Central African Republic"	2008	0.19449215	5.9430604	4.234779	0.529949	0.07583336	0.56177914
"Chad"	2003	0.2071523	5.350405	3.2279274	0.5377718	0.082390934	0.39809614
"Chad"	2011	0.20910236	5.310459	3.2767909	0.5377539	0.09241715	0.43319756
"Chad"	2018	0.21032594	5.1271005	3.3743734	0.5377498	0.09864158	0.37499154
"Chile"	1990	0.3113831	4.3641267	5.3871694	0.942631	0.2673892	0.5723538
"Chile"	1992	0.31242582	4.3380756	5.387562	0.9425342	0.27483046	0.54806453
"Chile"	1994	0.31322098	4.3057523	5.3836694	0.94238687	0.28187537	0.5642096
"Chile"	1996	0.3136344	4.25476	5.376901	0.94221455	0.28839716	0.54868835
"Chile"	1998	0.31401515	4.168542	5.368979	0.94204825	0.29551655	0.5551666
"Chile"	2000	0.3143064	4.108505	5.364474	0.9419278	0.30141717	0.5275838
"Chile"	2003	0.31491214	4.09226	5.508396	0.9764569	0.30767432	0.51475215
"Chile"	2006	0.31571898	4.0262294	5.589029	0.99525124	0.31453896	0.47706816
"Chile"	2009	0.31744158	3.7002509	5.583983	0.99527806	0.32451037	0.47404596
"Chile"	2011	0.31775567	3.6592705	5.5728517	0.9952963	0.33186218	0.46868134
"Chile"	2013	0.31759477	3.6734984	5.5196533	0.99530786	0.34066772	0.46823916
"Chile"	2015	0.3175006	3.6864562	5.479053	0.9953073	0.34853354	0.45343325
"Chile"	2017	0.3185196	3.6783476	5.4476876	0.99526083	0.35693613	0.4526995
"China"	1990	0.3005529	2.9951873	3.5073087	0.18184233	0.06557196	0.3222662
"China"	1993	0.3004508	3.1150663	3.5037587	0.1816821	0.06651115	0.338778
"China"	1996	0.3005908	3.0984797	3.5194092	0.18169223	0.06809131	0.3522766
"China"	1999	0.30084023	2.9444454	3.6258426	0.18182719	0.070613615	0.38703215
"China"	2002	0.3012683	2.8878863	3.5092769	0.18200307	0.07414102	0.41985723
"China"	2005	0.30181783	2.8634007	3.2913	0.18212192	0.07903266	0.40900767
"China"	2008	0.30346152	2.7665315	3.2743006	0.18213318	0.08495704	0.4296504
"China"	2010	0.30434743	2.721285	3.2622395	0.18207341	0.08956046	0.43744954
"China"	2011	0.30424774	2.7213087	3.2354581	0.182025	0.091838524	0.42409223
"China"	2012	0.30380702	2.7270303	3.1923788	0.1819709	0.094158985	0.42237166
"China"	2013	0.30326563	2.7349577	3.1465228	0.18191536	0.09661374	0.397364
"China"	2014	0.30286062	2.7424161	3.1112425	0.18187092	0.09926376	0.39177653
"China"	2015	0.3028187	2.746322	3.1001413	0.1818321	0.10212784	0.38595304
"China"	2016	0.30670774	2.743988	3.1556082	0.18180573	0.10640783	0.38480517
"China"	2017	0.31065378	2.7405303	3.213697	0.1817923	0.10991693	0.39075777
"China"	2018	0.31072184	2.7349718	3.2062707	0.18179223	0.11168088	0.38497642
"China"	2019	0.30997753	2.7240157	3.1641822	0.18180744	0.11261842	0.38168344
"Colombia"	1992	0.27617913	2.430166	4.600316	0.7415077	0.18308282	0.51352334
"Colombia"	1996	0.27619302	2.4805958	4.681205	0.74166423	0.18622392	0.5678045
"Colombia"	1999	0.27615833	2.5761771	5.171708	0.7416165	0.1874157	0.5853699
"Colombia"	2000	0.27614677	2.5933146	5.241066	0.74157673	0.18794987	0.5839443
"Colombia"	2001	0.27611944	2.5994809	5.2478056	0.7415165	0.18785089	0.57328486
"Colombia"	2002	0.27607507	2.6050134	5.2524037	0.74144745	0.18832189	0.56007546
"Colombia"	2003	0.27604118	2.6066637	5.254393	0.7413603	0.18847127	0.5357371
"Colombia"	2004	0.2760442	2.604258	5.2533813	0.7412507	0.1887106	0.5497496
"Colombia"	2005	0.27610937	2.598011	5.249427	0.74113303	0.18892615	0.53908044
"Colombia"	2008	0.2776392	2.3878741	4.4358473	0.7407571	0.19414087	0.5530713
"Colombia"	2009	0.27824473	2.3027036	4.126996	0.74064904	0.19673106	0.54283005
"Colombia"	2010	0.2786231	2.2522938	3.9970102	0.7405593	0.19889013	0.5461688
"Colombia"	2011	0.27885714	2.2282627	3.997384	0.7404865	0.20143916	0.5348354
"Colombia"	2012	0.2791258	2.2073174	4.0009246	0.74043095	0.20400381	0.52637744
"Colombia"	2013	0.2794103	2.1882632	4.0079994	0.7403921	0.20608352	0.52625173
"Colombia"	2014	0.27969244	2.1753545	4.018868	0.7403615	0.20892034	0.52543414
